month,service,ridership
2019-01,Lrt Kj,7900483
2019-01,Lrt Ampang,5363000
2019-01,Mrt Kajang,5206125
2019-01,Monorail,978364
2019-01,Bus Rkl,0
2019-01,Bus Rkn,0
2019-01,Bus Rpn,0
2019-01,Ets,0
2019-01,Intercity,0
2019-01,Komuter,0
2019-01,Komuter Utara,0
2019-01,Lrt Shah Alam,0
2019-01,Mrt Pjy,0
2019-01,Tebrau,0
2019-02,Lrt Kj,6523515
2019-02,Lrt Ampang,4454115
2019-02,Mrt Kajang,4319140
2019-02,Monorail,857334
2019-02,Bus Rkl,0
2019-02,Bus Rkn,0
2019-02,Bus Rpn,0
2019-02,Ets,0
2019-02,Intercity,0
2019-02,Komuter,0
2019-02,Komuter Utara,0
2019-02,Lrt Shah Alam,0
2019-02,Mrt Pjy,0
2019-02,Tebrau,0
2019-03,Lrt Kj,8127743
2019-03,Lrt Ampang,5617697
2019-03,Mrt Kajang,5393067
2019-03,Monorail,1018990
2019-03,Bus Rkl,0
2019-03,Bus Rkn,0
2019-03,Bus Rpn,0
2019-03,Ets,0
2019-03,Intercity,0
2019-03,Komuter,0
2019-03,Komuter Utara,0
2019-03,Lrt Shah Alam,0
2019-03,Mrt Pjy,0
2019-03,Tebrau,0
2019-04,Lrt Kj,8189219
2019-04,Lrt Ampang,5571821
2019-04,Mrt Kajang,5294479
2019-04,Monorail,999786
2019-04,Bus Rkl,0
2019-04,Bus Rkn,0
2019-04,Bus Rpn,0
2019-04,Ets,0
2019-04,Intercity,0
2019-04,Komuter,0
2019-04,Komuter Utara,0
2019-04,Lrt Shah Alam,0
2019-04,Mrt Pjy,0
2019-04,Tebrau,0
2019-05,Lrt Kj,7746135
2019-05,Lrt Ampang,5458497
2019-05,Mrt Kajang,5155333
2019-05,Monorail,935505
2019-05,Bus Rkl,0
2019-05,Bus Rkn,0
2019-05,Bus Rpn,0
2019-05,Ets,0
2019-05,Intercity,0
2019-05,Komuter,0
2019-05,Komuter Utara,0
2019-05,Lrt Shah Alam,0
2019-05,Mrt Pjy,0
2019-05,Tebrau,0
2019-06,Lrt Kj,7000564
