service,total_trips,average_daily_trips,max_daily_trips
Lrt Kj,511795082,186922.96639883125,352504
Mrt Kajang,452268218,165181.96420745068,401756
Lrt Ampang,387674731,141590.4788166545,270317
Bus Rkl,302220080,110379.86851716581,269734
Mrt Pjy,166146608,60681.741417092766,236225
Monorail,103998148,37983.2534696859,99361
Bus Rpn,68097094,24871.108108108107,60669
Komuter,30053211,10976.337107377647,92398
Komuter Utara,23404666,8548.08838568298,39765
Ets,19691011,7191.749817384953,25781
Tebrau,12334061,4504.77027027027,10036
Intercity,6550830,2392.5602629656682,7954
Bus Rkn,3399577,1241.627830533236,4865
Lrt Shah Alam,113575,41.48100803506209,58865
