destination_code,destination_name,inbound_trips
A0,All Stations,128679539
KG18,Bukit Bintang,12622372
KG20,Tun Razak Exchange,10022444
KJ10,KLCC,8824830
KJ15,KL Sentral,8546484
KG22,Maluri,6562724
KJ17,Abdullah Hukum,6083574
KJ14,Pasar Seni,6037540
KJ09,Ampang Park,5683610
KG09,Bandar Utama,4997626
KG15,Muzium Negara,4981356
AG07,Masjid Jamek,4817062
KG21,Cochrane,4788884
MR06,Bukit Bintang,4769962
KJ03,Wangsa Maju,3791898
KJ16,Bank Rakyat Bangsar,3660086
KG35,Kajang,3396350
KG25,Taman Mutiara,3220490
KG07,Surian,3128740
KG16,Pasar Seni,3097284
KJ19,Universiti,3081572
AG06,Bandaraya,2974686
KJ18,Kerinchi,2878230
MR01,KL Sentral,2870922
KG08,Mutiara Damansara,2864936
MR04,Hang Tuah,2797346
AG04,PWTC,2645794
KJ13,Masjid Jamek,2638390
SP15,Bandar Tasik Selatan,2567120
AG10,Pudu,2498890
KG26,Taman Connaught,2481684
KG14,Semantan,2443442
KG10,TTDI,2435392
KJ28,Subang Jaya,2373382
KJ27,Cgc Glenmarie,2348160
KJ02,Taman Melati,2338828
MR05,Imbi,2308988
KJ04,Sri Rampai,2297782
KG13,Pusat Bandar Damansara,2232284
PYL04,Sungai Buloh,2217644
AG18,Ampang,2179740
KG06,Kota Damansara,2143304
KJ21,Asia Jaya,2105484
KG27,Taman Suntex,2032822
MR07,Raja Chulan,2002788
KJ26,Ara Damansara,1956566
AG01,Sentul Timur,1944788
KJ29,SS 15,1927558
AG08,Plaza Rakyat,1906590
AG16,Cempaka,1864702
