origin_code,origin_name,outbound_trips
A0,All Stations,128679539
KG18,Bukit Bintang,10718912
KJ10,KLCC,9135464
KJ15,KL Sentral,8727470
KG20,Tun Razak Exchange,6669184
KG22,Maluri,5902718
KJ17,Abdullah Hukum,5900424
KJ09,Ampang Park,5675742
KJ14,Pasar Seni,5248378
KG15,Muzium Negara,4623330
MR06,Bukit Bintang,4308980
KG09,Bandar Utama,4034988
AG07,Masjid Jamek,3997728
KG21,Cochrane,3915938
KJ03,Wangsa Maju,3616412
KJ16,Bank Rakyat Bangsar,3611864
KG16,Pasar Seni,3166724
KG35,Kajang,3095784
KJ13,Masjid Jamek,3075766
MR01,KL Sentral,2919654
KJ19,Universiti,2905798
KG25,Taman Mutiara,2830202
KJ18,Kerinchi,2809310
AG06,Bandaraya,2699366
KG07,Surian,2679472
MR04,Hang Tuah,2599476
KG08,Mutiara Damansara,2560908
SP15,Bandar Tasik Selatan,2395590
KJ27,Cgc Glenmarie,2363760
KJ02,Taman Melati,2339106
AG04,PWTC,2295972
KJ28,Subang Jaya,2271826
PYL20,Ampang Park,2248760
MR05,Imbi,2242968
KJ21,Asia Jaya,2213196
KG14,Semantan,2210346
AG10,Pudu,2192926
KG26,Taman Connaught,2185564
KG10,TTDI,2143704
KJ04,Sri Rampai,2126590
KJ26,Ara Damansara,2042740
KG13,Pusat Bandar Damansara,2015228
KG06,Kota Damansara,1997664
KJ29,SS 15,1902206
KG27,Taman Suntex,1829414
KJ01,Gombak,1824040
KJ12,Dang Wangi,1773602
AG18,Ampang,1772286
KJ20,Taman Jaya,1762502
AG08,Plaza Rakyat,1749254
